550	111.625
550.02063	85.399994
550.04126	112.19998
550.06189	92.392853
550.08252	104
550.10315	125.1857
550.12378	129.94443
550.14441	161.13748
550.16504	147.10001
550.18567	123.5
550.2063	118.875
550.22693	120.29999
550.24756	123.75
550.26819	130.04999
550.28882	124.59997
550.30945	122.94443
550.33008	114.21875
550.35071	119.11108
550.37134	135.54999
550.39197	133.14999
550.4126	116.5
550.43323	103.5
550.45386	97.799988
550.47449	109.34997
550.49512	117.84997
550.51575	111.34997
550.53638	130.10001
550.55701	144
550.57757	184.54999
550.5982	155.61111
550.61883	151.61111
550.63946	152.35001
550.66009	159.9375
550.68072	174.35001
550.70135	161.875
550.72198	147
550.74261	159.89999
550.76324	146
550.78387	174
550.8045	254.79999
550.82513	351.64999
550.84576	420.5
550.86639	430.14999
550.88702	337.35001
550.90765	201.14999
550.92828	140.72223
550.94891	110.5
550.96954	113.63174
550.99017	119
551.01074	158.4375
551.03137	213.44998
551.052	262.79999
551.07263	270.5
551.09326	392.75
551.11389	585.95001
551.13452	767.75
551.15515	861.95001
551.17578	791.79999
551.19641	568.25
551.21704	423.64999
551.23767	356.64999
551.25824	260.5
551.27887	215.75
551.2995	222.79999
551.32013	225.19998
551.34076	235.25
551.36139	239.14999
551.38202	256.20001
551.40265	307.45001
551.42328	372.14999
551.44391	490.60001
551.46448	806.95001
551.48511	1232.8
551.50574	1480.4499
551.52637	1508.5
551.547	1091.35
551.56763	703.5
551.58826	536.75
551.60889	450.70001
551.62945	345
551.65008	197
551.67071	153.5
551.69134	125.54999
551.71197	116.04999
551.7326	108.6857
551.75323	95
551.7738	107.33331
551.79443	89
551.81506	98.960693
551.83569	96.683319
551.85632	89.75
551.87695	100.4722
551.89758	107.25
551.91815	110.75555
551.93878	119.61108
551.95941	171.08569
551.98004	240.72501
552.00067	292
552.0213	449.70001
552.04187	664.75
552.0625	1098.1999
552.08313	1528.3
552.10376	1725.65
552.12439	1592.25
552.14496	1182.6
552.16559	928.20001
552.18622	809.45001
552.20685	679.59997
552.22748	434.95001
552.24811	285.45001
552.26868	242.89999
